RT @FoxNews: .@newtgingrich: "@wikileaks is going to presently give us an entirely new understanding of how sick, how corrupt, how dishones…, negative
Lmaooooo my pops spoiled my momssssssss 😭😭 so when he got locked up she was sick dick https://t.co/Qubql59l6Y, negative
I haven't been able to eat or sleep because of it so you're not alone. You're right, it's sick. It's heartbreaking., positive
Been too sick to do anything... 😷😕, negative
feel so rough and sick and i'm at work tonight 😓, negative
@RosieMcGraffin sick eh😂 sc me, negative
I was soooo sick last night 😂 dk what was wrong., negative
I just feel so sick rn. 😭, negative
I hate drinking cause I don't like the feeling of being sick 😩, negative
I hate when I feel like I'm going to vomit then the feeling goes away and then it comes back, it's a sick joke, negative
@SewedCodeMode good afternoon 😊 sorry, I went to sleep bcoz I was so sick after work 😣 I think everyone and their mother is sick here!, negative
RT @CarmineZozzora: @WikiLeaks exposes new Hillary and MSM corruption by the hour while they up their lies and conspiracy to stop Trump.

I…, positive
Had a sick time at @thearchbrighton last night! Chris Lorenzo was mad!! 👌🏽, negative
Ik vind een @YouTube-video van @kwebbelkop leuk: https://t.co/KK9vX2SrRA VISITING MY SICK DAD, negative
I'm sick of ppl &amp; there terrible ass communication skills, negative
